Number,Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z,MagX,MagY,MagZ
104,2.6793740458015263,-2.859916030534351,-86.72390839694657,-0.39657922363281234,0.6521649169921877,0.9560584716796896,-3690.6,-1728.8999999999999,148.79999999999998
105,4.969450381679389,8.544664122137405,-109.10558778625955,0.21499304199218763,0.07452819824218769,1.0205115966796896,-3690.6,-1728.8999999999999,148.79999999999998
106,11.427465648854962,0.7126030534351144,-128.78497709923664,0.05312780761718764,0.06354187011718769,0.9616737060546896,-3690.6,-1728.8999999999999,148.79999999999998
107,10.099221374045802,-1.165259541984733,-151.853679389313,0.08681921386718763,0.04181335449218769,0.9494666748046896,-3690.6,-1728.8999999999999,148.79999999999998
108,15.580137404580153,-3.3179312977099236,-160.72390839694657,-0.08212609863281237,-0.00506164550781231,1.0012244873046896,-3690.6,-1728.8999999999999,148.79999999999998
109,14.236625954198473,-0.37136641221374056,-164.67810687022902,-0.02450891113281236,0.00714538574218769,1.0371131591796896,-3690.6,-1728.8999999999999,148.79999999999998
110,16.007618320610685,-3.4553358778625953,-167.9605496183206,-0.01864953613281236,-0.04241516113281231,1.0249061279296896,-3690.6,-1728.8999999999999,148.79999999999998
111,16.664106870229006,-0.23396183206106877,-161.04451908396948,-0.01791711425781236,-0.06194641113281231,0.9824256591796896,-3690.6,-1728.8999999999999,148.79999999999998
112,13.137389312977099,-5.531671755725191,-153.3040610687023,-0.0015596923828123596,-0.04046203613281231,0.9819373779296896,-3690.6,-1728.8999999999999,148.79999999999998
113,11.885480916030534,-6.661442748091603,-150.54070229007635,-0.01181359863281236,-0.03924133300781231,1.0163612060546896,-3690.6,-1728.8999999999999,148.79999999999998
114,10.46563358778626,2.666801526717557,-150.12848854961834,-0.05600305175781236,-0.01043273925781231,1.0217322998046896,-3690.6,-1728.8999999999999,148.79999999999998
115,12.893114503816793,-5.608007633587786,-144.5712366412214,0.00454382324218764,-0.05340148925781231,1.0092811279296896,-3690.6,-1728.8999999999999,148.79999999999998
116,10.80151145038168,-5.775946564885496,-146.81551145038168,0.07290319824218763,-0.00408508300781231,0.9951209716796896,-3690.6,-1728.8999999999999,148.79999999999998
117,11.885480916030534,2.666801526717557,-153.0750534351145,-0.0018038330078123596,-0.07000305175781231,0.9790076904296896,-3690.6,-1728.8999999999999,148.79999999999998
118,12.63357251908397,5.598099236641222,-152.23535877862597,0.07778601074218763,-0.06048156738281231,0.9687537841796896,-3690.6,-1728.8999999999999,148.79999999999998
119,13.015251908396946,1.3232900763358777,-140.08268702290079,0.03042272949218764,-0.06951477050781231,1.0327186279296896,-3690.6,-1728.8999999999999,148.79999999999998
120,13.503801526717558,-0.7530458015267176,-139.2429923664122,-0.0030245361328123596,-0.05608703613281231,1.0441932373046896,-3690.6,-1728.8999999999999,148.79999999999998
121,9.152656488549619,-5.852282442748091,-119.059786259542,0.02602819824218764,0.06110046386718769,1.0644569091796896,-3690.6,-1728.8999999999999,148.79999999999998
122,10.12975572519084,-2.2492290076335877,-98.69337404580153,0.02602819824218764,-0.03045227050781231,1.0351600341796896,-3690.6,-1728.8999999999999,148.79999999999998
123,7.396931297709923,-2.4935038167938934,-84.84604580152673,0.00918249511718764,-0.07879211425781231,1.0131873779296896,-3690.6,-1728.8999999999999,148.79999999999998
124,7.045786259541984,2.636267175572519,-87.39566412213742,0.01772741699218764,-0.09466125488281231,0.9458045654296896,-3690.6,-1728.8999999999999,148.79999999999998
125,5.2137251908396935,-1.3179312977099238,-92.265893129771,-0.04819055175781236,0.03375671386718769,1.0456580810546896,-3690.6,-1728.8999999999999,148.79999999999998
126,8.862580152671756,0.6057328244274808,-95.74680916030535,-0.00644250488281236,0.01617858886718769,1.0551795654296896,-3690.6,-1728.8999999999999,148.79999999999998
127,5.381664122137404,0.20878625954198468,-105.97581679389315,0.03286413574218764,-0.07415344238281231,0.9626502685546896,-3690.6,-1728.8999999999999,148.79999999999998
128,8.083954198473283,2.6057328244274807,-108.9071145038168,0.05996374511718764,-0.01922180175781231,0.9577674560546896,-3690.6,-1728.8999999999999,148.79999999999998
129,8.603038167938932,3.537030534351145,-101.44146564885497,0.03481726074218764,0.03815124511718769,0.9538612060546896,-3690.6,-1728.8999999999999,148.79999999999998
130,7.6564732824427475,-5.3790000000000004,-91.5483358778626,-0.06552453613281237,0.09967468261718769,1.0249061279296896,-3690.6,-1728.8999999999999,148.79999999999998
131,5.122122137404579,2.636267175572519,-89.5483358778626,0.03261999511718764,-0.01043273925781231,0.9956092529296896,-3690.6,-1728.8999999999999,148.79999999999998
132,8.78624427480916,-5.653809160305344,-82.55596946564886,0.00771765136718764,0.03155944824218769,0.9834022216796896,-3690.6,-1728.8999999999999,148.79999999999998
133,3.4121984732824426,3.140083969465649,-77.13612213740458,-0.00741906738281236,0.00690124511718769,0.9953651123046896,-3690.6,-1728.8999999999999,148.79999999999998
134,7.564870229007633,-3.363732824427481,-86.06741984732825,-0.0015596923828123596,-0.04021789550781231,0.9890174560546896,-3690.6,-1728.8999999999999,148.79999999999998
135,6.083954198473282,4.254587786259542,-85.85367938931299,-0.01913781738281236,-0.00921203613281231,0.9860877685546896,-3690.6,-1728.8999999999999,148.79999999999998
136,4.786244274809159,-1.5011374045801527,-90.92238167938932,-0.01694055175781236,0.03180358886718769,1.0376014404296896,-3690.6,-1728.8999999999999,148.79999999999998
137,7.9923511450381675,-1.2873969465648856,-69.96054961832061,-0.05160852050781236,0.08307312011718769,1.0126990966796896,-3690.6,-1728.8999999999999,148.79999999999998
138,7.473267175572518,2.7584045801526718,-70.61703816793894,-0.08163781738281237,0.01666687011718769,1.0512733154296896,-3690.6,-1728.8999999999999,148.79999999999998
139,9.61067175572519,1.735503816793893,-82.95291603053435,-0.06283898925781237,0.0017742919921876904,1.0105018310546896,-3690.6,-1728.8999999999999,148.79999999999998
140,5.625938931297709,-2.7377786259541987,-85.1513893129771,-0.00937219238281236,-0.00774719238281231,1.0012244873046896,-3690.6,-1728.8999999999999,148.79999999999998
141,1.6259389312977095,-6.89045038167939,-74.05215267175574,-0.03549523925781236,0.04352233886718769,0.9838905029296896,-3690.6,-1728.8999999999999,148.79999999999998
142,9.351129770992367,0.8347404580152671,-73.02925190839696,-0.07211633300781237,-0.0031085205078123096,1.0117225341796896,-3690.6,-1728.8999999999999,148.79999999999998
143,1.7480763358778622,2.834740458015267,-56.082687022900764,-0.01425500488281236,0.12360046386718769,0.9370155029296896,-3690.6,-1728.8999999999999,148.79999999999998
144,3.824412213740458,-4.111824427480916,-41.97581679389313,-0.03964562988281236,0.06525085449218769,1.0053748779296896,-3690.6,-1728.8999999999999,148.79999999999998
