Number,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
105,0.0094351145,0.0097251908,0.0001603053,-0.0019974365,0.0026009521,1.0013320313
106,-0.0134656489,-0.0055419847,0.0077938931,0.0050826416,0.001380249,0.9979140625
107,-0.0134656489,-0.0055419847,0.0077938931,0.0160689697,-0.0074088135,0.9974257813
108,0.0094351145,0.0173587786,0.0230610687,0.0150924072,0.0028450928,1.002796875
109,0.0018015267,-0.0284427481,0.0001603053,0.0172896729,-0.0037467041,1.0159804688
110,-0.0134656489,0.0097251908,0.0077938931,0.0016646729,-0.0022818604,1.0040175781
111,-0.0287328244,-0.0055419847,0.0077938931,0.0006881104,0.0082161865,0.994984375
112,-0.0058320611,0.0173587786,0.0154274809,0.0041060791,-0.0017935791,0.9991347656
113,0.0018015267,-0.0055419847,0.0154274809,-0.0100540771,-0.002526001,1.0001113281
114,0.0018015267,0.0097251908,0.0230610687,-0.001020874,-8.45947265625015E-05,1.0176894531
115,0.0094351145,-0.0131755725,0.0230610687,-0.0005325928,-0.0052115479,0.9962050781
116,-0.0058320611,0.0249923664,0.0154274809,0.010697876,-0.0076529541,0.9969375
117,-0.0058320611,-0.0284427481,0.0077938931,-0.0007767334,0.0030892334,1.0186660156
118,0.0247022901,-0.0131755725,-0.0074732824,-0.0034622803,0.0011361084,1.0013320313
119,-0.0058320611,0.0097251908,0.0001603053,-4.43115234371461E-05,0.0060189209,1.0018203125
120,-0.0058320611,-0.0131755725,0.0001603053,-4.43115234371461E-05,-0.0074088135,1.002796875
121,-0.0287328244,0.0326259542,0.0001603053,-0.012739624,-0.0030142822,1.0018203125
122,-0.0058320611,0.0020916031,-0.022740458,-0.0039505615,-0.0010611572,1.0025527344
123,-0.0058320611,-0.0055419847,-0.0074732824,0.0001998291,0.0021126709,0.9937636719
124,0.0018015267,-0.0055419847,0.0077938931,0.0168013916,0.0001595459,0.9920546875
125,0.0018015267,0.0249923664,0.0077938931,-0.0034622803,0.0038216553,1.0032851563
126,0.0094351145,0.0097251908,0.0001603053,-0.0032181396,-0.0030142822,0.9993789063
127,0.0170687023,0.0173587786,0.0077938931,0.0124068604,0.0016243896,0.994984375
128,-0.0058320611,-0.0208091603,0.0077938931,-0.0012650146,0.0016243896,1.0035292969
129,0.0094351145,0.0020916031,-0.0074732824,0.0133834229,0.0006478271,1.0003554688
130,-0.0134656489,0.0020916031,0.0154274809,-0.001020874,-0.0100943604,0.9962050781
131,0.0018015267,0.0173587786,0.0230610687,-0.0034622803,-0.0003287354,1.002796875
132,0.0018015267,-0.0208091603,0.0154274809,0.0170455322,0.0016243896,1.0032851563
133,-0.0058320611,0.0097251908,0.0077938931,0.0041060791,-0.0020377197,1.0142714844
134,0.0018015267,-0.0055419847,0.0154274809,-0.0044388428,-0.0015494385,0.9984023438
135,0.0018015267,-0.0208091603,-0.0074732824,0.0011763916,0.001380249,1.0167128906
136,-0.0134656489,0.0173587786,0.0154274809,-0.0005325928,0.0028450928,0.9940078125
137,0.0018015267,0.0173587786,0.0154274809,-0.0032181396,-0.0008170166,1.0003554688
138,0.0018015267,0.0097251908,0.0001603053,-0.0024857178,-8.45947265625015E-05,1.0045058594
139,0.0094351145,-0.0055419847,0.0077938931,0.0019088135,0.0194466553,0.9981582031
140,0.0170687023,-0.0131755725,-0.0074732824,-0.0017532959,-0.0047232666,1.0032851563
141,-0.0134656489,0.0097251908,0.0077938931,0.0072799072,-0.0022818604,0.9984023438
142,0.0094351145,-0.0131755725,0.0001603053,0.0023970947,0.001380249,1.0198867188
143,0.0094351145,-0.0055419847,-0.0074732824,0.002885376,-0.008385376,0.9984023438
144,0.0018015267,-0.0055419847,0.0077938931,0.0021529541,0.0021126709,0.9957167969
145,0.0094351145,0.0020916031,-0.0151068702,-0.0032181396,-0.0003287354,1.0020644531
146,0.0170687023,0.0173587786,-0.0074732824,0.002885376,0.0008919678,0.9959609375
147,-0.0134656489,0.0097251908,0.0001603053,0.0016646729,-0.0027701416,0.9986464844
148,-0.0058320611,0.0173587786,0.0230610687,-0.0056595459,-0.0047232666,0.9944960938
149,0.0018015267,-0.0131755725,0.0230610687,-0.0024857178,0.0004036865,1.0005996094
150,0.0018015267,0.0097251908,0.0306946565,0.0004439697,0.0004036865,1.0015761719
151,0.0018015267,-0.0055419847,0.0383282443,-0.0037064209,0.0028450928,0.9903457031
152,-0.0058320611,-0.0055419847,0.0230610687,-0.0046829834,-0.0078970947,0.9979140625
153,-0.0058320611,0.0173587786,0.0077938931,-0.0063919678,0.0040657959,0.9952285156
154,-0.0058320611,0.0020916031,-0.0074732824,-0.001020874,0.0001595459,0.9979140625
